family,identifier,child,subchild,sort-as,control_name,assessment_objective,EXAMINE,INTERVIEW,TEST
ACCESS CONTROL,AC-01,,,AC-01-00-00,Policy and Procedures,Determine if:,[SELECT FROM: Access control policy and procedures; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with access control responsibilities; organizational personnel with information security with information security and privacy responsibilities].,
,AC-02_ODP[01],,,AC-02-00-01,,prerequisites and criteria for group and role membership are defined;,,,
,AC-02_ODP[02],,,AC-02-00-02,,attributes (as required) for each account are defined;,,,
,AC-02_ODP[03],,,AC-02-00-03,,personnel or roles required to approve requests to create accounts is/are defined;,,,
,AC-02_ODP[04],,,AC-02-00-04,,"policy, procedures, prerequisites, and criteria for account creation, enabling, modification, disabling, and removal are defined;",,,
,AC-02_ODP[05],,,AC-02-00-05,,personnel or roles to be notified is/are defined;,,,
,AC-02_ODP[06],,,AC-02-00-06,,time period within which to notify account managers when accounts are no longer required is defined;,,,
,AC-02_ODP[07],,,AC-02-00-07,,time period within which to notify account managers when users are terminated or transferred is defined;,,,
,AC-02_ODP[08],,,AC-02-00-08,,time period within which to notify account managers when system usage or the need to know changes for an individual is defined;,,,
,AC-02_ODP[09],,,AC-02-00-09,,attributes needed to authorize system access (as required) are defined;,,,
,AC-02_ODP[10],,,AC-02-00-10,,the frequency of account review is defined;,,,
,AC-02a.[01],,,AC-02-00-11,,account types allowed for use within the system are defined and documented;,,,
,AC-02a.[02],,,AC-02-00-12,,account types specifically prohibited for use within the system are defined and documented;,,,
,AC-02b.,,,AC-02-00-13,,account managers are assigned;,,,
,AC-02c.,,,AC-02-00-14,,<AC-02_ODP[01] prerequisites and criteria> for group and role membership are required;,,,
,AC-02d.01,,,AC-02-00-15,,authorized users of the system are specified;,,,
,AC-02d.02,,,AC-02-00-16,,group and role membership are specified;,,,
,AC-02d.03[01],,,AC-02-00-17,,"access authorizations (i.e., privileges) are specified for each account;",,,
,AC-02d.03[02],,,AC-02-00-18,,<AC-02_ODP[02] attributes (as required)> are specified for each account;,,,
,AC-02e.,,,AC-02-00-19,,approvals are required by <AC-02_ODP[03] personnel or roles> for requests to create accounts;,,,
,AC-02f.[01],,,AC-02-00-20,,"accounts are created in accordance with <AC-02_ODP[04] policy, procedures, prerequisites, and criteria>;",,,
,AC-02f.[02],,,AC-02-00-21,,"accounts are enabled in accordance with <AC-02_ODP[04] policy, procedures, prerequisites, and criteria>;",,,
,AC-02f.[03],,,AC-02-00-22,,"accounts are modified in accordance with <AC-02_ODP[04] policy, procedures, prerequisites, and criteria>;",,,
,AC-02f.[04],,,AC-02-00-23,,"accounts are disabled in accordance with <AC-02_ODP[04] policy, procedures, prerequisites, and criteria>;",,,
,AC-02f.[05],,,AC-02-00-24,,"accounts are removed in accordance with <AC-02_ODP[04] policy, procedures, prerequisites, and criteria>;",,,
,AC-02g.,,,AC-02-00-25,,the use of accounts is monitored;,,,
,AC-02h.01,,,AC-02-00-26,,account managers and <AC-02_ODP[05] personnel or roles> are notified within <AC-02_ODP[06] time period> when accounts are no longer required;,,,
,AC-02h.02,,,AC-02-00-27,,account managers and <AC-02_ODP[05] personnel or roles> are notified within <AC-02_ODP[07] time period> when users are terminated or transferred;,,,
,AC-02h.03,,,AC-02-00-28,,account managers and <AC-02_ODP[05] personnel or roles> are notified within <AC-02_ODP[08] time period> when system usage or the need to know changes for an individual;,,,
,AC-02i.01,,,AC-02-00-29,,access to the system is authorized based on a valid access authorization;,,,
,AC-02i.02,,,AC-02-00-30,,access to the system is authorized based on intended system usage;,,,
,AC-02i.03,,,AC-02-00-31,,access to the system is authorized based on <AC-02_ODP[09] attributes (as required)>;,,,
,AC-02j.,,,AC-02-00-32,,accounts are reviewed for compliance with account management requirements <AC-02_ODP[10] frequency>;,,,
,AC-02k.[01],,,AC-02-00-33,,a process is established for changing shared or group account authenticators (if deployed) when individuals are removed from the group;,,,
,AC-02k.[02],,,AC-02-00-34,,a process is implemented for changing shared or group account authenticators (if deployed) when individuals are removed from the group;,,,
,AC-02l.[01],,,AC-02-00-35,,account management processes are aligned with personnel termination processes;,,,
,AC-02l.[02],,,AC-02-00-36,,account management processes are aligned with personnel transfer processes.,,,
,AC-02(01),,,AC-02-01-00,Account Management | Automated System Account Management,Determine if:,[SELECT FROM: Access control policy; procedures for addressing account management; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with account management responsibilities; system/network administrators; organizational personnel with information security with information security responsibilities; system developers].,[SELECT FROM: Automated mechanisms for implementing account management functions].
,,AC-02(01),AC-02(01)_ODP,AC-02-01-01,,automated mechanisms used to support the management of system accounts are defined;,,,
,,AC-02(01),AC-02(01),AC-02-01-02,,the management of system accounts is supported using <AC-02(01)_ODP automated mechanisms>.,,,
,AC-02(02),,,AC-02-02-00,Account Management | Automated Temporary and Emergency Account Management,Determine if:,[SELECT FROM: Access control policy; procedures for addressing account management; system design documentation; system configuration settings and associated documentation; system-generated list of temporary accounts removed and/or disabled; system-generated list of emergency accounts removed and/or disabled; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with account management responsibilities; system/network administrators; organizational personnel with information security with information security responsibilities; system developers].,[SELECT FROM: Automated mechanisms for implementing account management functions].
,,AC-02(02),AC-02(02)_ODP[01],AC-02-02-01,,one of the following PARAMETER VALUES is selected: {remove; disable};,,,
,,AC-02(02),AC-02(02)_ODP[02],AC-02-02-02,,the time period after which to automatically remove or disable temporary or emergency accounts is defined;,,,
,,AC-02(02),AC-02(02),AC-02-02-03,,temporary and emergency accounts are automatically <AC-02(02)_ODP[01] SELECTED PARAMETER VALUE> after <AC-02(02)_ODP[02] time period>.,,,
,AC-02(03),,,AC-02-03-00,Account Management | Disable Accounts,Determine if:,[SELECT FROM: Access control policy; procedures for addressing account management; system security plan; system design documentation; system configuration settings and associated documentation; system-generated list of accounts removed; system-generated list of emergency accounts disabled; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with account management responsibilities; system/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms for implementing account management functions].
,,AC-02(03),AC-02(03)_ODP[01],AC-02-03-01,,time period within which to disable accounts is defined;,,,
,,AC-02(03),AC-02(03)_ODP[02],AC-02-03-02,,time period for account inactivity before disabling is defined;,,,
,,AC-02(03),AC-02(03)(a),AC-02-03-03,,accounts are disabled within <AC-02(03)_ODP[01] time period> when the accounts have expired;,,,
,,AC-02(03),AC-02(03)(b),AC-02-03-04,,accounts are disabled within <AC-02(03)_ODP[01] time period> when the accounts are no longer associated with a user or individual;,,,
,,AC-02(03),AC-02(03)(c),AC-02-03-05,,accounts are disabled within <AC-02(03)_ODP[01] time period> when the accounts are in violation of organizational policy;,,,
,,AC-02(03),AC-02(03)(d),AC-02-03-06,,accounts are disabled within <AC-02(03)_ODP[01] time period> when the accounts have been inactive for <AC-02(03)_ODP[02] time period>.,,,
,AC-02(04),,,AC-02-04-00,Account Management | Automated Audit Actions,Determine if:,"[SELECT FROM: Access control policy; procedures addressing account management; system design documentation; system configuration settings and associated documentation; notifications/alerts of account creation, modification, enabling, disabling, and removal actions; system audit records; system security plan; other relevant documents or records].",[SELECT FROM: Organizational personnel with account management responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Automated mechanisms implementing account management functions].
,,AC-02(04),AC-02(04)[01],AC-02-04-01,,account creation is automatically audited;,,,
,,AC-02(04),AC-02(04)[02],AC-02-04-02,,account modification is automatically audited;,,,
,,AC-02(04),AC-02(04)[03],AC-02-04-03,,account enabling is automatically audited;,,,
,,AC-02(04),AC-02(04)[04],AC-02-04-04,,account disabling is automatically audited;,,,
,,AC-02(04),AC-02(04)[05],AC-02-04-05,,account removal actions are automatically audited.,,,
,AC-02(05),,,AC-02-05-00,Account Management | Inactivity Logout,Determine if:,[SELECT FROM: Access control policy; procedures addressing account management; system design documentation; system configuration settings and associated documentation; security violation reports; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with account management responsibilities; system/network administrators; organizational personnel with information security responsibilities; users that must comply with inactivity logout policy].,
,,AC-02(05),AC-02(05)_ODP,AC-02-05-01,,the time period of expected inactivity or description of when to log out is defined;,,,
,,AC-02(05),AC-02(05),AC-02-05-02,,users are required to log out when <AC-02(05)_ODP time period of expected inactivity or description of when to log out>.,,,
,AC-02(06),,,AC-02-06-00,Account Management | Dynamic Privilege Management,Determine if:,[SELECT FROM: Access control policy; procedures addressing account management; system design documentation; system configuration settings and associated documentation; system-generated list of dynamic privilege management capabilities; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with account management responsibilities; system/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: system or mechanisms implementing dynamic privilege management capabilities].
,,AC-02(06),AC-02(06)_ODP,AC-02-06-01,,dynamic privilege management capabilities are defined;,,,
,,AC-02(06),AC-02(06),AC-02-06-02,,<AC-02(06)_ODP dynamic privilege management capabilities> are implemented.,,,
,AC-02(07),,,AC-02-07-00,Account Management | Privileged User Accounts,Determine if:,[SELECT FROM: Access control policy; procedures addressing account management; system design documentation; system configuration settings and associated documentation; system-generated list of privileged user accounts and associated roles; records of actions taken when privileged role assignments are no longer appropriate; system audit records; audit tracking and monitoring reports; system monitoring records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with account management responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing account management functions; mechanisms monitoring privileged role assignments].
,,AC-02(07),AC-02(07)_ODP,AC-02-07-01,,one of the following PARAMETER VALUES is selected: {a role-based access scheme; an attribute-based access scheme};,,,
,,AC-02(07),AC-02(07)(a),AC-02-07-02,,privileged user accounts are established and administered in accordance with <AC-02(07)_ODP SELECTED PARAMETER VALUE>;,,,
,,AC-02(07),AC-02(07)(b),AC-02-07-03,,privileged role or attribute assignments are monitored;,,,
,,AC-02(07),AC-02(07)(c),AC-02-07-04,,changes to roles or attributes are monitored;,,,
,,AC-02(07),AC-02(07)(d),AC-02-07-05,,access is revoked when privileged role or attribute assignments are no longer appropriate.,,,
,AC-02(08),,,AC-02-08-00,Account Management | Dynamic Account Management,Determine if:,[SELECT FROM: Access control policy; procedures addressing account management; system design documentation; system configuration settings and associated documentation; system-generated list of system accounts; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with account management responsibilities; system/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Automated mechanisms implementing account management functions].
,,AC-02(08),AC-02(08)_ODP,AC-02-08-01,,"system accounts that are dynamically created, activated, managed, and deactivated are defined;",,,
,,AC-02(08),AC-02(08)[01],AC-02-08-02,,<AC-02(08)_ODP system accounts> are created dynamically;,,,
,,AC-02(08),AC-02(08)[02],AC-02-08-03,,<AC-02(08)_ODP system accounts> are activated dynamically;,,,
,,AC-02(08),AC-02(08)[03],AC-02-08-04,,<AC-02(08)_ODP system accounts> are managed dynamically;,,,
,,AC-02(08),AC-02(08)[04],AC-02-08-05,,<AC-02(08)_ODP system accounts> are deactivated dynamically.,,,
,AC-02(09),,,AC-02-09-00,Account Management | Restrictions on Use of Shared and Group Accounts,Determine if:,[SELECT FROM: Access control policy; procedures addressing account management; system design documentation; system configuration settings and associated documentation; system-generated list of shared/group accounts and associated roles; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with account management responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing management of shared/group accounts].
,,AC-02(09),AC-02(09)_ODP,AC-02-09-01,,conditions for establishing shared and group accounts are defined;,,,
,,AC-02(09),AC-02(09),AC-02-09-02,,the use of shared and group accounts is only permitted if <AC-02(09)_ODP conditions> are met.,,,
,AC-02(10),,,AC-02-10-00,Account Management | Shared and Group Account Credential Change,[WITHDRAWN: Incorporated into AC-2k.],,,
,AC-02(11),,,AC-02-11-00,Account Management | Usage Conditions,Determine if:,[SELECT FROM: Access control policy; procedures addressing account management; system design documentation; system configuration settings and associated documentation; system-generated list of system accounts and associated assignments of usage circumstances and/or usage conditions; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with account management responsibilities; system/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing account management functions].
,,AC-02(11),AC-02(11)_ODP[01],AC-02-11-01,,circumstances and/or usage conditions to be enforced for system accounts are defined;,,,
,,AC-02(11),AC-02(11)_ODP[02],AC-02-11-02,,system accounts subject to enforcement of circumstances and/or usage conditions are defined;,,,
,,AC-02(11),AC-02(11),AC-02-11-03,,<AC-02(11)_ODP[01] circumstances and/or usage conditions> for <AC-02(11)_ODP[02] system accounts> are enforced.,,,
,AC-02(12),,,AC-02-12-00,Account Management | Account Monitoring for Atypical Usage,Determine if:,[SELECT FROM: Access control policy; procedures addressing account management; system design documentation; system configuration settings and associated documentation; system monitoring records; system audit records; audit tracking and monitoring reports; privacy impact assessment; system security plan; privacy plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with account management responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing account management functions].
,,AC-02(12),AC-02(12)_ODP[01],AC-02-12-01,,atypical usage for which to monitor system accounts is defined;,,,
,,AC-02(12),AC-02(12)_ODP[02],AC-02-12-02,,personnel or roles to report atypical usage is/are defined;,,,
,,AC-02(12),AC-02(12)(a),AC-02-12-03,,system accounts are monitored for <AC-02(12)_ODP[01] atypical usage>;,,,
,,AC-02(12),AC-02(12)(b),AC-02-12-04,,atypical usage of system accounts is reported to <AC-02(12)_ODP[02] personnel or roles>.,,,
,AC-02(13),,,AC-02-13-00,Account Management | Disable Accounts for High-risk Individuals,Determine if:,[SELECT FROM: Access control policy; procedures addressing account management; system design documentation; system configuration settings and associated documentation; system-generated list of disabled accounts; list of user activities posing significant organizational risk; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with account management responsibilities; system/network administrators; organizational personnel with information security responsibilities].,[SELECT FROM: Mechanisms implementing account management functions].
,,AC-02(13),AC-02(13)_ODP[01],AC-02-13-01,,time period within which to disable accounts of individuals who are discovered to pose significant risk is defined;,,,
,,AC-02(13),AC-02(13)_ODP[02],AC-02-13-02,,significant risks leading to disabling accounts are defined;,,,
,,AC-02(13),AC-02(13),AC-02-13-03,,accounts of individuals are disabled within <AC-02(13)_ODP[01] time period> of discovery of <AC-02(13)_ODP[02] significant risks>.,,,
ACCESS CONTROL,AC-02,,,AC-02-00-00,Account Management,Determine if:,"[SELECT FROM: Access control policy; personnel termination policy and procedure; personnel transfer policy and procedure; procedures for addressing account management; system design documentation; system configuration settings and associated documentation; list of active system accounts along with the name of the individual associated with each account; list of recently disabled system accounts and the name of the individual associated with each account; list of conditions for group and role membership; notifications of recent transfers, separations, or terminations of employees; access authorization records; account management compliance reviews; system monitoring records; system audit records; system security plan; privacy plan; other relevant documents or records].",[SELECT FROM: Organizational personnel with account management responsibilities; system/network administrators; organizational personnel with information security with information security and privacy responsibilities].,[SELECT FROM: Organizational processes for account management on the system; mechanisms for implementing account management].
,,AC-03,AC-03,AC-03-00-01,,approved authorizations for logical access to information and system resources are enforced in accordance with applicable access control policies.,,,
,AC-03(01),,,AC-03-01-00,Access Enforcement | Restricted Access to Privileged Functions,[WITHDRAWN: Incorporated into AC-06.],,,
,AC-03(02),,,AC-03-02-00,Access Enforcement | Dual Authorization,Determine if:,[SELECT FROM: Access control policy; procedures addressing access enforcement and dual authorization; system design documentation; system configuration settings and associated documentation; list of privileged commands requiring dual authorization; list of actions requiring dual authorization; list of approved authorizations (user privileges); system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Dual authorization mechanisms implementing access control policy].
,,AC-03(02),AC-03(02)_ODP,AC-03-02-01,,privileged commands and/or other actions requiring dual authorization are defined;,,,
,,AC-03(02),AC-03(02),AC-03-02-02,,dual authorization is enforced for <AC-03(02)_ODP privileged commands and/or other actions>.,,,
,AC-03(03),,,AC-03-03-00,Access Enforcement | Mandatory Access Control,Determine if:,"[SELECT FROM: Access control policy; mandatory access control policies; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; list of subjects and objects (i.e., users and resources) requiring enforcement of mandatory access control policies; system audit records; system security plan; other relevant documents or records].",[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Automated mechanisms implementing mandatory access control].
,,AC-03(03),AC-03(03)_ODP[01],AC-03-03-01,,mandatory access control policy enforced over the set of covered subjects is defined;,,,
,,AC-03(03),AC-03(03)_ODP[02],AC-03-03-02,,mandatory access control policy enforced over the set of covered objects is defined;,,,
,,AC-03(03),AC-03(03)_ODP[03],AC-03-03-03,,subjects to be explicitly granted privileges are defined;,,,
,,AC-03(03),AC-03(03)_ODP[04],AC-03-03-04,,privileges to be explicitly granted to subjects are defined;,,,
,,AC-03(03),AC-03(03)[01],AC-03-03-05,,<AC-03(03)_ODP[01] mandatory access control policy> is enforced over the set of covered subjects specified in the policy;,,,
,,AC-03(03),AC-03(03)[02],AC-03-03-06,,<AC-03(03)_ODP[02] mandatory access control policy> is enforced over the set of covered objects specified in the policy;,,,
,,AC-03(03),AC-03(03)(a)[01],AC-03-03-07,,<AC-03(03)_ODP[01] mandatory access control policy> is uniformly enforced across the covered subjects within the system;,,,
,,AC-03(03),AC-03(03)(a)[02],AC-03-03-08,,<AC-03(03)_ODP[02] mandatory access control policy> is uniformly enforced across the covered objects within the system;,,,
,,AC-03(03),AC-03(03)(b)(01),AC-03-03-09,,<AC-03(03)_ODP[01] mandatory access control policy> and <AC-03(03)_ODP[02] mandatory access control policy> specifying that a subject that has been granted access to information is constrained from passing the information to unauthorized subjects or objects are enforced;,,,
,,AC-03(03),AC-03(03)(b)(02),AC-03-03-10,,<AC-03(03)_ODP[01] mandatory access control policy> and <AC-03(03)_ODP[02] mandatory access control policy> specifying that a subject that has been granted access to information is constrained from granting its privileges to other subjects are enforced;,,,
,,AC-03(03),AC-03(03)(b)(03),AC-03-03-11,,"<AC-03(03)_ODP[01] mandatory access control policy> and <AC-03(03)_ODP[02] mandatory access control policy> specifying that a subject that has been granted access to information is constrained from changing one of more security attributes (specified by the policy) on subjects, objects, the system, or system components are enforced;",,,
,,AC-03(03),AC-03(03)(b)(04),AC-03-03-12,,<AC-03(03)_ODP[01] mandatory access control policy> and <AC-03(03)_ODP[02] mandatory access control policy> specifying that a subject that has been granted access to information is constrained from choosing the security attributes and attribute values (specified by the policy) to be associated with newly created or modified objects are enforced;,,,
,,AC-03(03),AC-03(03)(b)(05),AC-03-03-13,,<AC-03(03)_ODP[01] mandatory access control policy> and <AC-03(03)_ODP[02] mandatory access control policy> specifying that a subject that has been granted access to information is constrained from changing the rules governing access control are enforced;,,,
,,AC-03(03),AC-03(03)(c),AC-03-03-14,,<AC-03(03)_ODP[01] mandatory access control policy> and <AC-03(03)_ODP[02] mandatory access control policy> specifying that <AC-03(03)_ODP[03] subjects> may explicitly be granted <AC-03(03)_ODP[04] privileges> such that they are not limited by any defined subset (or all) of the above constraints are enforced.,,,
,AC-03(04),,,AC-03-04-00,Access Enforcement | Discretionary Access Control,Determine if:,"[SELECT FROM: Access control policy; discretionary access control policies; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; list of subjects and objects (i.e., users and resources) requiring enforcement of discretionary access control policies; system audit records; system security plan; other relevant documents or records].",[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing discretionary access control policy].
,,AC-03(04),AC-03(04)_ODP[01],AC-03-04-01,,discretionary access control policy enforced over the set of covered subjects is defined;,,,
,,AC-03(04),AC-03(04)_ODP[02],AC-03-04-02,,discretionary access control policy enforced over the set of covered objects is defined;,,,
,,AC-03(04),AC-03(04)[01],AC-03-04-03,,<AC-03(04)_ODP[01] discretionary access control policy> is enforced over the set of covered subjects specified in the policy;,,,
,,AC-03(04),AC-03(04)[02],AC-03-04-04,,<AC-03(04)_ODP[02] discretionary access control policy> is enforced over the set of covered objects specified in the policy;,,,
,,AC-03(04),AC-03(04)(a),AC-03-04-05,,<AC-03(04)_ODP[01] discretionary access control policy> and <AC-03(04)_ODP[02] discretionary access control policy> are enforced where the policy specifies that a subject that has been granted access to information can pass the information to any other subjects or objects;,,,
,,AC-03(04),AC-03(04)(b),AC-03-04-06,,<AC-03(04)_ODP[01] discretionary access control policy> and <AC-03(04)_ODP[02] discretionary access control policy> are enforced where the policy specifies that a subject that has been granted access to information can grant its privileges to other subjects;,,,
,,AC-03(04),AC-03(04)(c),AC-03-04-07,,"<AC-03(04)_ODP[01] discretionary access control policy> and <AC-03(04)_ODP[02] discretionary access control policy> are enforced where the policy specifies that a subject that has been granted access to information can change security attributes on subjects, objects, the system, or the system’s components;",,,
,,AC-03(04),AC-03(04)(d),AC-03-04-08,,<AC-03(04)_ODP[01] discretionary access control policy> and <AC-03(04)_ODP[02] discretionary access control policy> are enforced where the policy specifies that a subject that has been granted access to information can choose the security attributes to be associated with newly created or revised objects;,,,
,,AC-03(04),AC-03(04)(e),AC-03-04-09,,<AC-03(04)_ODP[01] discretionary access control policy> and <AC-03(04)_ODP[02] discretionary access control policy> are enforced where the policy specifies that a subject that has been granted access to information can change the rules governing access control.,,,
,AC-03(05),,,AC-03-05-00,Access Enforcement | Security-relevant Information,Determine if:,[SELECT FROM: Access control policy; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; system audit records; system security plan; other relevant documents or records].,[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms preventing access to security-relevant information within the system].
,,AC-03(05),AC-03(05)_ODP,AC-03-05-01,,"security-relevant information to which access is prevented except during secure, non-operable system states is defined;",,,
,,AC-03(05),AC-03(05),AC-03-05-02,,"access to <AC-03(05)_ODP security-relevant information> is prevented except during secure, non-operable system states.",,,
,AC-03(06),,,AC-03-06-00,Access Enforcement | Protection of User and System Information,"[WITHDRAWN: Incorporated into MP-04, SC-28.]",,,
,AC-03(07),,,AC-03-07-00,Access Enforcement | Role-based Access Control,Determine if:,"[SELECT FROM: Access control policy; role-based access control policies; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; list of roles, users, and associated privileges required to control system access; system audit records; system security plan; privacy plan; other relevant documents or records].",[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security and privacy responsibilities; system developers].,[SELECT FROM: Mechanisms implementing role-based access control policy].
,,AC-03(07),AC-03(07)_ODP[01],AC-03-07-01,,roles upon which to base control of access are defined;,,,
,,AC-03(07),AC-03(07)_ODP[02],AC-03-07-02,,users authorized to assume roles (defined in AC-03(07)_ODP[01]) are defined;,,,
,,AC-03(07),AC-03(07)[01],AC-03-07-03,,a role-based access control policy is enforced over defined subjects;,,,
,,AC-03(07),AC-03(07)[02],AC-03-07-04,,a role-based access control policy is enforced over defined objects;,,,
,,AC-03(07),AC-03(07)[03],AC-03-07-05,,access is controlled based on <AC-03(07)_ODP[01] roles> and <AC-03(07)_ODP[02] users authorized to assume such roles>.,,,
,AC-03(08),,,AC-03-08-00,Access Enforcement | Revocation of Access Authorizations,Determine if:,"[SELECT FROM: Access control policy; procedures addressing access enforcement; system design documentation; system configuration settings and associated documentation; rules governing revocation of access authorizations, system audit records; system security plan; other relevant documents or records].",[SELECT FROM: Organizational personnel with access enforcement responsibilities; system/network administrators; organizational personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access enforcement functions].
,,AC-03(08),AC-03(08)_ODP,AC-03-08-01,,rules governing the timing of revocations of access authorizations are defined;,,,
,,AC-03(08),AC-03(08)[01],AC-03-08-02,,"revocation of access authorizations is enforced, resulting from changes to the security attributes of subjects based on <AC-03(08)_ODP rules>;",,,
,,AC-03(08),AC-03(08)[02],AC-03-08-03,,revocation of access authorizations is enforced resulting from changes to the security attributes of objects based on <AC-03(08)_ODP rules>.,,,
